name,description,contact_info
Challabration,"Challabration is a club that is devoted to creating a community around baking challahs and other desserts weekly in preparation for Shabbat. Every Thursday during the semester, the University of Wisconsin Hillel will provide dough for students to braid, incorporating the flavor of the week, as well as supplying the ingredients for the dessert of the week which will be served for Shabbat dinner at Hillel the following night. Once students have made their challahs and desserts, we will bake their creations, and students can choose to stay and eat their baked goods fresh out of the oven, take them home, or pick them up the following day. We also can provide students with baking kits so that they can braid and bake challahs in their own kitchens. Some weeks will have themes or activities associated with them, such as embroidering challah covers, painting pumpkins, knitting, and other activities. Holding these weekly baking meetings gives individuals the opportunity to disconnect from all the deadlines and obligations of a college student’s life and destress while focusing on baking with friends for one hour of the week, regardless of their religious identity or background. In addition to serving as a time for mental wellness, Challahbration serves as a social event, where students can easily meet members of the Jewish community or any members of the Madison community who share a love for challah baking. Baking challah weekly creates a community around Jewish values and provides the opportunity for students to preserve traditions from their childhood with the observance of Shabbat. In light of the Jewish value of Tzedakah, our weekly challah bakes are a source of food security for attendees. Furthermore, after students and Shabbat dinner have been provided for, any remaining challah will be donated to food banks in the area.","Address
611 Langdon Street
Madison, WI 53703
United States of America Address 611 Langdon Street Madison, WI 53703 Madison, United States of America Contact Email
E: jbmanders@wisc.edu Contact Email E:"
Change Makers Collective,Mission Statement: “CMC-UW is an academic student organization that operates beyond the classroom by offering further personal and professional development experiences. The organization prepares members for success and fulfillment in service-oriented sectors.“,"Address
United States Address United States Contact Email
E: iparekh2@wisc.edu Contact Email E: Phone Number
P: 7732522559 Phone Number P:"
Chemistry Graduate Student Faculty Liaison Committee,The The Graduate Student-Faculty Liaison Committee (GSFLC) was created to give graduate students and postdoctoral scholars (“postdocs”) in the Department of Chemistry at the University of Wisconsin-Madison representation in Department of Chemistry affairs. This committee is charged with i) facilitating an ongoing discussion between the graduate students/postdocs and the faculty/staff; ii) serving as the voice of graduate students/postdocs; iii) organizing events to foster community and wellness and provide opportunities for outreach and career development; and iv) acting as a catalyst for change within the department to improve the overall climate for graduate students and postdocs. ,"Address
1101 University Ave
Madison, WI 53706
United States Address 1101 University Ave Madison, WI 53706 Madison, United States Contact Email
E: gsflc.uw@gmail.com Contact Email E:"
Chess Club UW,"The Chess Club of UW-Madison is a place to play chess in a friendly and low-stress environment. Players of all levels are welcome to come play and learn the game of chess. Our first meeting of the Fall semester will be September 12, 2024, in Engineering Hall rm 3355. We meet every Thursday evening at 6:00 p.m. Check T.I.T.U. for the specific room or the email announcements. We've recently started organizing USCF-rated tournaments. Check the email announcements or Discord for more information. Join our Discord Server to chat, play games, and find meetups. Our members often organize informal meetups, so be sure to check it out. Join this WIN page or our mailing list to receive emails and be informed about announcements.","Address
1022 W Johnson Street
Madison, WI 53715
United States Address 1022 W Johnson Street Madison, WI 53715 Madison, United States Contact Email
E: nchatterjee4@wisc.edu Contact Email E: Phone Number
P: 6504959921 Phone Number P:"
Chi Omega - Nu Chapter,"Founding Purposes • Friendship 
• Personal integrity 
• Service to others 
• Academic excellence and intellectual pursuits 
• Community and campus involvement 
• Personal and career development  Motto To live constantly above snobbery of word or deed; to place scholarship before social obligations and character before appearances; to be in the best sense, democratic rather than “exclusive”, and lovable rather than “popular”; to work earnestly, to speak kindly, to act sincerely, to choose thoughtfully that course which occasion and conscience demand; to be womanly always; to be discouraged never; in a word, to be loyal under and all circumstances to my Fraternity and her highest teachings and to have her welfare ever at heart that she may be a symphony of high purpose and helpfulness in which there is no discordant note.  Community Service & Philanthropies Make-a-Wish Foundation became Chi Omega's national philanthropy in 2002 and since then Chi Omega has become the largest contributor to Make-a-Wish. Chi Omega holds a philanthropy event every fall called “Walk It Out For Wishes,” an event involving Wish children from the Madison area, the community and the chapter women. In the fall of 2018, the women of Chi Omega raised $35,000 and granted five wishes. All proceeds go directly to the Foundation. Each year our Chi Omega holds ‘Celebration for Shona’ as its spring philanthropy, in honor of Shona Goorvich. Shona was a member of Chi Omega who passed away from complications due to cancer when she was 19 years old. The women of Chi Omega put on a children’s carnival and spend the day at the UW Children’s Hospital, providing relief to the patients and their families. Chi Omega members and families also raise money for the Shona Goorvich Foundation, which was put in place by her family to donate money to programs which provide psychosocial support to children or teenagers with life threatening illnesses. Chi Omega also hosts “Chi O Reads Aloud” every Friday afternoon, volunteering in a Madison area after school program, providing homework help, classroom assistance, and spreading energy.   Awards • Highest GPA of all sororities at UW Madison with an average of a 3.56 in the Fall of 2018 • Chapter of Excellence","Address
115 Langdon Street
Madison, WI 53703
United States Address 115 Langdon Street Madison, WI 53703 Madison, United States Contact Email
E: chiomeganu.president@gmail.com Contact Email E:"
Chi Psi Fraternity - Alpha Iota,"Alpha Iota of Chi Psi, more commonly known on campus as ‘The Lodge’, has grown into one of the premier fraternities at the University of Wisconsin. One of the longest continuously active fraternities on campus, the Lodge has become a staple of the University and the city of Madison since its founding in 1878. Generations of men look back at their experiences at 150 Iota Ct. as some of the most memorable times in their lives. We at the Lodge continually strive for development and enrichment in our active membership even today, instilling the feelings and traditions of previous members in our current active body. Activity outside of the Lodge is strongly encouraged, and many members are involved on the UW campus and in the local community. Members serve on the IFC Executive boards, serve on student government, participate in pre-professional and academic societies, and participate in club athletics. Many events within the Lodge, prepared and developed by the brotherhood, help to break up the daily grind of academic life. These events include intramural sports teams as well as socials with sororities, all helping to instill valuable personal and life-long skills for our members. Moreover, the Lodge is a force in philanthropic work in the Madison community, from our volunteer efforts at Gio's Garden to the Iota Open golf outing, which has raised thousands of dollars for local charities. Additionally, the Lodge has been very successful in Humorology, having won raising the highest total of funds twice in recent years. Known as ‘Alphas’ of Chi Psi, Alpha Iota has long list of distinguished alumni including the great American historian Stephen E. Ambrose, renowned Milwaukee architect Andrew C. Eschweiler, former Colorado Governor Richard Lamm, the Pabst family from Pabst Brewing Co., and Daily Show producer Ben Karlin. Today, members come from across the country and world finding fraternity life at the Lodge one of the best parts of their college experience. In many ways, the fraternity experience has drifted astray from its founding principles: bettering men and assisting them in the development of their intellectual, moral and social life. These values are what The Lodge is built upon, where we stress the importance of academic excellence, community service, and social tact. We are continually building a better experience for men who seek more out of their University years than the average undergraduate, and we’re searching for a select group of excellent young gentlemen to contribute to that experience.","Address
150 Iota Ct
Madison, WI 53703
United States Address 150 Iota Ct Madison, WI 53703 Madison, United States Contact Email
E: zpolis@wisc.edu Contact Email E: Phone Number
P: 7202440668 Phone Number P:"
"Chi Sigma Tau National Fraternity, Inc. Delta Chapter","Chi Sigma Tau Mission Statement: We the men of Chi Sigma Tau, in eternal brotherhood, pledge ourselves to the development of character within each member. We shall encourage and reward academic excellence, promote service in our communities, and educate ourselves and the community around us on issues regarding Asian American culture, history, and identity. By continued involvement in our fraternity, leadership is not only a trait acquired, it is a skill that is mastered, that each brother will carry with themselves far beyond their college years.

No student is excluded from membership, officer positions, or participation on the basis of his or her race, color, creed other than commitment to the beliefs of the organization, religion, national origin, disability, ancestry, age, sexual orientation, pregnancy, marital status or parental status, or, unless exempt under Title IX, sex.","Address Address Contact Email
E: cst.delta.president@gmail.com Contact Email E: Phone Number
P: 6089494120 x+1 Phone Number P: x+1"
Chicanx & Latinx Certificate Student Association,,"Address
1155 Observatory Dr
Madison, WI 53703
USA Address 1155 Observatory Dr Madison, WI 53703 Madison, USA Contact Email
E: chilacsa@gmail.com Contact Email E: Phone Number
P: 608-265-6081 Phone Number P:"
Child Care Club,"Child Care Club will bring together students who share a commitment to the importance of children’s education and well-being. Among our members will be future professionals in fields such as medicine, education, and nursing. We are going to volunteer at Neighborhood House Madison's after school program. Also, we are going to have guest speakers such as doctors, teachers, workers from organizations to come in for meetings and lecture members about the importance of child care. Membership is open to any enrolled University student in good academic standing, especially for those who are interested in child care. - Membership Requirements • Members must pay annual dues of $10 to support club activities.
• Maintain a minimum cumulative GPA of 2.0.
• Commit to participating in at least two club events or meetings per semester.","Address
309 W Johnson St
Madison, Wi 53703
United States Address 309 W Johnson St Madison, Wi 53703 Madison, United States Contact Email
E: skim836@wisc.edu Contact Email E: Phone Number
P: 6083815667 Phone Number P:"
Children's Justice Project,"Children's Justice Project (CJP) aims to add to the law school community by hosting speakers, sending students to conferences, providing volunteer opportunities to students, and helping students apply for fellowships doing legal work on behalf of children.","Address
975 Bascom Mall
University of Wisconsin Law School
Madison, WI 53715
United States Address 975 Bascom Mall University of Wisconsin Law School Madison, WI 53715 Madison, United States Contact Email
E: cjpwisc@gmail.com Contact Email E: Phone Number
P: 608-836-4079 Phone Number P:"
Chinese American Student Association,"Chinese American Student Association is designed for those on campus who are interested in Chinese American culture. Our goal is to provide a space where students can build community amongst their peers and be able to learn more about their own individual identities. We recognize the importance of acknowledging the two different cultures and how having two backgrounds can impact one’s college experience. Through social events and community outreach, CHASA strives to establish a better understanding of Chinese American culture at UW-Madison. CHASA is not exclusively for Chinese American students, we are open to anyone interested in Chinese culture.","Address Address Contact Email
E: chasauwmadison@gmail.com Contact Email E:"
Chinese Christian Fellowship,"The purpose of this organization shall be to introduce the Christian faith and foster fellowship between people and God among members of similar languages (including but not limited to Mandarin, Cantonese, Taiwanese, and other dialects) through various events and guest speaker sessions. 圣经分享： 圣灵所结的果子，就是仁爱、喜乐、和平、忍耐、恩慈、良善、信实、温柔、节制。（加拉太书 5：22-23） 认识你——独一的真神，并且认识你所差来的耶稣基督，这就是永生。 （约翰福音 17：3） 诗歌享受：欢迎订阅youtube细拉频道","Address
3110 Bluff St
Madison, WI 53705
US Address 3110 Bluff St Madison, WI 53705 Madison, US Contact Email
E: nshi4@wisc.edu Contact Email E: Phone Number
P: 6089773350 Phone Number P:"
Chinese Entertainment Agency: Blueline TV,蓝线电视（CEA）是一家专注于视频制作（主要是电视节目）的华人娱乐机构。我们通过电影制作将华人与其他文化相结合，促进多元化。蓝线电视还结合电视节目的拍摄组织了一系列相关的线下活动。蓝线电视不仅包括华人学生和学者，还包括对中国文化和媒体感兴趣的其他种族背景的人。蓝线电视向所有威斯康星大学麦迪逊分校的研究生、本科生和学者开放。,"Address
777 University Ave
Madison, WI 53715
U.S. Address 777 University Ave Madison, WI 53715 Madison, U.S. Contact Email
E: bluelinetv2022@gmail.com Contact Email E: Phone Number
P: 6088679009 Phone Number P:"
Chinese Language and Culture Club,"The Chinese Language and Culture Club's goal is to promote U.S-Sino Relations by sharing Chinese Language and Culture on campus. We hope to connect Chinese international students with non-Native Chinese students based on a mutual interest or curiosity about China. We focus on hosting events based on Chinese holidays and cultural aspects, while also holding weekly Chinese Table and bi-weekly Chinese Writing Workshop. Lastly, we make a point of keeping a strong relationship with the ALC department, alumni who were/are involved with  EA Studies (Specifically Chinese) and International Chinese alumni. Come Join Us!","Address
333 E Campus Mall
Office 30
Madison, WI 53715
United States Address 333 E Campus Mall Office 30 Madison, WI 53715 Madison, United States Contact Email
E: claccuw@gmail.com Contact Email E:"
Chinese Undergraduate Student Association (UW-Madison),CUSA serves as a supportive student group dedicated to improving the well-being of all Chinese and other Asian students at UW-Madison and fostering cultural exchange on campus and Madison community.  CUSA 是一个支持性的学生团体，致力于改善威斯康星大学麦迪逊分校所有中国本科生和其他亚裔学生的福祉，并促进校园和麦迪逊社区的文化交流。我们主要通过组织课外活动和其他学术活动来实现这一目标。此外，我们努力为我们的会员提供与职业相关的信息，并让我们的会员与威斯康星大学麦迪逊分校的中国校友建立联系。此外，我们致力于促进华人与其他文化群体之间的交流，以及我们的文化和价值观教育。CUSA 希望为学生带来满足感、繁荣和机会，帮助他们走向胜利的未来。,"Address
110 N Bedford St
Apt 415
Madison, WI 53703
United States Address 110 N Bedford St Apt 415 Madison, WI 53703 Madison, United States Contact Email
E: lxie54@wisc.edu Contact Email E: Phone Number
P: 608-977-4704 Phone Number P:"
Choi Tae Kwon Do Club,"Tae Kwon Do, “a Korean martial art, which requires the use of only hands and feet, without weapons” was developed during the years of 1954-55 by General Choi Hong Hi. Its roots lie in the ancient Korean martial arts of Taek Kyon and Subak. The Choi Tae Kwon Do Club of the University of Wisconsin, Madison was started by Drs. Jack Nitschke and Carmen Alonso in 1998. The club provides traditional martial arts training and is dedicated to promoting individual growth through a non-competitive environment. Classes generally are for an hour and a half. The first 30-45 minutes is a workout/warmup which consists of push-ups, sit-ups, and stretching. The remainder of class concentrates on a wide range of Tae Kwon Do technique, as appropriate to the individual’s experience level. The final few minutes of every class are used for meditation/contemplation and announcements. New students interested in joining the club can simply attend one of the scheduled classes in loose fitting, comfortable workout clothing (i.e. sweatpants, sweatshirt). Questions can be emailed to club contacts. Class times: Tuesdays and Thursdays 5-6:30pm, and Sundays 10-11:30am. Class times and locations are posted on our Facebook page. ALL CLASSES ARE FREE!","Address Address Contact Email
E: mgallmeyer@wisc.edu Contact Email E:"
Christian Faith in Action,"Christian Faith in Action ultimately follows Jesus' example of humility and servant leadership exhibited in many sections in the Bible, as in John 13. Christian or not, this act of kindness and humility is an ideal model for students who wish to show kindness to others out of love. CFiA is an organization that aims to utilize this example and show love through acts of kindness and servant leadership on campus.","Address
220 West Gilman St.
Madison, WI 53703
United States Address 220 West Gilman St. Madison, WI 53703 Madison, United States Contact Email
E: bethany@wlchapel.org Contact Email E: Phone Number
P: 608-257-1969 Phone Number P:"
"Christian Legal Society, UW-Madison Chapter","Christian Legal Society (CLS) is a faith community. CLS, a place to grow as a Christ-following law student by
+Loving God
+Loving and supporting one another
+Loving the pursuit of justice
+Loving all those around us with the love of Christ Our activities include:","Address
975 Bascom Mall
Madison, WI 53706
USA Address 975 Bascom Mall Madison, WI 53706 Madison, USA Contact Email
E: clsuwlaw@gmail.com Contact Email E: Phone Number
P: 708-910-4128 Phone Number P:"
Christian Medical Association,"The Christian Medical Association is a very active medical school organization, with events including: -Occasional large group meetings for either (1) worship, fellowship, and dessert at a student's home, or (2) fellowship, dinner, and a message from a local Christian physician at their home. -Weekly Bible study meetings to grow deeper relationships with fellow medical students, reflect on what it means to be a Christian in the medical field, and study God's Word. -Weekly worship at local churches with various members attending various services and denominations. -Annual Fall Retreat weekend for worship, prayer, reflection, fellowship, and a whole lot of fun!! -Annual ""Welcome to Med School M1s!!"" picnic to start off the year right, welcome the awesome new class, and give a taste of what CMA is all about! -Lunch noon talks on various medical topics from a wide range of speakers.  Past speakers include Dr. John Patrick of Augustine College and Dr. David Stevens, chief executive director of the national Christian Medical and Dental Associations. -Inter health professional Christian organizations fellowship events with the pharm, vet, and nursing schools! -Annual medical mission trip to Tegucigalpa, Honduras through World Gospel Outreach with the pharmacy and nursing schools... approximately 1 week long starting right after final exams in May. -Constant ""Operation Love"" to spread God's love to all! Manifestations include gifting post-exam food to weary test-takers and treating others as we would like to be treated.","Address
750 Highland Ave
Madison, WI 53726 Address 750 Highland Ave Madison, WI 53726 Madison, Contact Email
E: gpetzold@wisc.edu Contact Email E:"
Christian Pharmacists Fellowship International-UW Madison,"The mission of the Christian Pharmacists Fellowship International UW-Madison Chapter is to build and maintain a community of Christian students and faculty in pharmacy, to promote spiritual growth, to integrate our faith with education, professional practice and service, and to be a witness for the gospel of Jesus Christ. The purpose of our chapter is to encourage deeper relationships with Christ and with one another by providing prayer support, accountability, and fellowship, encouraging one another and building each other up, and providing service outreach to others in the school of pharmacy and the community. The means include, but are not limited to: group meeting to discuss the implications of our faith on pharmacy practice and professional development, Bible study, group prayer time, and social gatherings. Any denomination is welcome to join and hold a leadership position in Christian Pharmacists Fellowship International UW-Madison Chapter; however it is recommended that members are committed to the beliefs and ideals of the organization. CPFI at the University of Wisconsin's School of Pharmacy is an official student organization that is completely student organized and operated. We focus our events on volunteer work around the Madison community and Bible study groups at the school of pharmacy. Many of our members are very active in other Christian organizations, as well as other Pharmacy student organizations. If you have any questions or are simply more interested in our organization, please feel free to send an email to us, check out our Facebook page!","Address Address Contact Email
E: ahofacker@wisc.edu Contact Email E: Phone Number
P: 9202469603 Phone Number P:"
Christian Students at UW-Madison,"Christian Students at UW-Madison is a diverse community of Christians from various backgrounds. We warmly receive all believers in Christ and seek to maintain the oneness of the Spirit by keeping our focus on Christ and His Word. We want to keep the practical oneness among all believers so that ""the world may believe that You have sent me."" (John 17:21). We love the Lord Jesus Christ and endeavor to give Him ""the first place in all things"" (Col. 1:18). Our desire is to cooperate with Him for the accomplishment of God's eternal purpose (Eph. 3:11) by ministering the unsearchable riches of Christ (Eph. 3:8) through His Word and gospel outreach for the building up of the Body of Christ (Eph. 4:12). We are forming a vital Christian community on campus by gathering together in small groups to pursue the Lord and go through life with one another. On top of that, the whole club gathers on a monthly basis for our Revive! meeting to worship and hear a word from the Bible. The church in Madison (churchinmadison.org) sponsors CS@UW to be a club where any student may participate and enjoy, regardless of where he/she may meet for regular Sunday services. Rev 22:21 ""The grace of our Lord Jesus Christ be with you all. Amen."" (KJV)","Address Address Contact Email
E: csatmadison@gmail.com Contact Email E: Phone Number
P: 2406869528 Phone Number P:"
Chronic Health Allies Mentorship Program,"CHAMP aims to create relationships between undergraduate (mentees) and graduate students (mentors) who live with chronic illness, chronic pain, and/or disability. CHAMP will establish a community for individuals with chronic illness, pain, and/or disability through:   Through CHAMP, mentors and mentees will build self-advocacy skills in both academic and non-academic settings.","Address Address Contact Email
E: champuwmadison@gmail.com Contact Email E:"
Cinemadison,"Cinemadison is an award winning, student-led film production organization where film enthusiasts can come together to produce films in a collaborative environment. The projects include, but are not limited to short films, feature films, animations, advertisements, and social media content. If you are interested in filmmaking, no matter how little experience or time commitment you have, let us know! If you are a new member, please email emailbadgerfilmsuw@gmail.com. Our work has been featured in multiple national and international film festivals over the past years. We have won awards in direction, editing, cinematography, and special jury awards. Follow us on Instagram @Cinemadison to learn more about our participation in film festivals!! Our goal is to give everyone who is interested in film making a chance to take part in real projects. If you like film making or are interested in film making, please don't hesitate to reach out to us! We are open to members who are of all majors and have a large community of individuals who are not studying film.","Address Address Contact Email
E: rpemmasani@wisc.edu Contact Email E:"
Circle K International (UW-Madison),"Circle K International is the world's largest student-led collegiate service organization. The collegiate branch of the Kiwanis International family, CKI is committed to developing leaders by offering unique service, leadership and fellowship opportunities. Our mission is to develop college and university students into a global network of responsible citizens and leaders with a lifelong commitment to service. If you would like more information, please check out our website: https://madisoncirclek.weebly.com/","Address Address Contact Email
E: circlek.wum.madison@gmail.com Contact Email E: Phone Number
P: 920-377-6449 Phone Number P:"
Classics Graduate Forum,"The purpose of the Classics Graduate Forum is to organize graduate conferences, lectures by invited speakers, and other similar events which enhance and deepen the educational experience of graduate students engaged in the study of the ancient world.  Membership in the Classics Graduate Forum is thus open to any graduate student whose educational interests lie in the ancient world. This is in compliance with the university policy that no student is excluded from membership, officer positions, or participation on the basis of his or her race, color, creed, religion, national origin, disability, ancestry, age, sexual orientation, pregnancy, marital status or parental status, or sex.  This principally means students in the Department of Classical and Ancient Near Eastern Studies, but the Classics Graduate Forum also welcomes students from the Departments of History, Art History, Comparative Literature, Political Science, History of Science, Anthropology, and others.","Address
1220 Linden Dr.
942 Van Hise Hall
Madison, WI 53706
United States of America Address 1220 Linden Dr. 942 Van Hise Hall Madison, WI 53706 Madison, United States of America Contact Email
E: classicsgraduateforum@gmail.com Contact Email E: Phone Number
P: 608-262-2041 Phone Number P: Fax Number
F: 608-262-8570 Fax Number F:"
Classics Society,"Classics Society unites students who have an interest in the ancient world, including the societies of ancient Greece, Rome, Egypt, and the Near East. We aim to provide a welcoming and exciting environment for our members to not only study and explore the classics but also to enjoy the company of like-minded friends. Our events include watching classics-related movies, an annual trip to the Chicago Art Institute, helping organize the Classics Department's annual holiday party, sponsoring guest lecturers, study nights, etc. If you're interested in joining, just send an email to one of the co-consuls listed below. We also invite you to follow our Instagram page, where we post about our upcoming events (https://www.instagram.com/uwclassicssociety/). We hope to see you soon!","Address
1220 Linden Dr
912 Van Hise
Madison, WI 53706
USA Address 1220 Linden Dr 912 Van Hise Madison, WI 53706 Madison, USA Contact Email
E: classicssociety@rso.wisc.edu Contact Email E: Phone Number
P: 608-265-3635 Phone Number P:"
Clay Collective,,"Address
Art Lofts--Ceramics
111 Frances Street
Madison, WI 53706
USA Address Art Lofts--Ceramics 111 Frances Street Madison, WI 53706 Madison, USA Contact Email
E: criegger@wisc.edu Contact Email E: Phone Number
P: 608-262-1660 Phone Number P:"
"Climbing Club, UW Madison","Meetings: Meetings start 9/15/24 Wednesday 6:00-8:00 pm @ Boulders Climbing Gym - Downtown Sunday 1:00-3:00 pm @ Boulders Climbing Gym - Downtown Come in whenever you can! Everyone is welcome and attendance is not required or recorded. Boulders offers two main memberships for UW-Madison students, the student membership and Climb4Community, a pay-what-you-can membership. Info about both can be found on Boulders' website. The Climbing Club is a place where everyone interested in climbing can come together, learn from each other, and have a good time. We are open to everyone of all skill levels and willing to help those at the beginning of their journey. We hope to cultivate a community that is non-judgemental and excited to share their experience.","Address Address Contact Email
E: jmevans6@wisc.edu Contact Email E:"
CLSJ Peer Mentoring,"We are a student-led group created to help students in the legal studies major or the criminal justice certificate navigate classes, schedules, homework, and more, all in a fun and social setting. You choose what communication method works for you, how involved you want to be, and what your involvement looks like. Any UW student can contact us with questions using their wisc email address at: CLSJPeerMentors@g-groups.wisc.edu If you wish to be more involved, you can join here and be assigned a team of mentors with similar academic paths who will stay in touch with you. They can help you with whatever you need, such as: In addition to getting assigned mentor, we will provide social events, general advice, student involvement opportunities, and anything else relevant to your success (and enjoyment!) in this program. Group is supervised by Martine Delannay, advisor in the Center of Law, Society and Justice. Established 2020.","Address
1180 Observatory Drive
Madison, WI 53706
United States Address 1180 Observatory Drive Madison, WI 53706 Madison, United States Contact Email
E: CLSJPeerMentors@g-groups.wisc.edu Contact Email E:"
Club Baseball,,"Address
1976 Observatory Drive
Madison, WI 53706
United States Address 1976 Observatory Drive Madison, WI 53706 Madison, United States Contact Email
E: jamend2@wisc.edu Contact Email E: Phone Number
P: 570-578-1150 Phone Number P:"
Club Golf (UW-Madison),,"Address
515 W Dayton St
Apt. 3
Madison, WI 53703
United States Address 515 W Dayton St Apt. 3 Madison, WI 53703 Madison, United States Contact Email
E: lertl@wisc.edu Contact Email E: Phone Number
P: 4146072721 Phone Number P:"
Club Wrestling at UW-Madison,"Club Wrestling at UW-Madison is designed to give students, faculty, and staff the chance to continue or learn to wrestle during their college years. The club caters to those of all skill levels with a combination of structured and informal practices every week. Wrestlers can enjoy friendly competition with their peers in an open learning environment. The club travels, competes in open tournaments, and plans dual meets with other college teams. The official technique of the club is folkstyle (collegiate) however Greco-Roman and Freestyle wrestlers are more than welcome to participate. Official Practice Times for Fall 2024. Monday 9-11 pm Wednesday 9:30-11:30 pm Thursday 9-11 pm    A lifelong dedication to giving back to our community is important to the club. Members will be encouraged to participate in a team service events throughout the academic year. Feel free to email one of our contacts below with any questions:  2024-2024 Club Contacts Club Email: clubwrestlingmadison@gmail.com","Address
1976 Observatory Dr
Madison, WI 53706
United States Address 1976 Observatory Dr Madison, WI 53706 Madison, United States Contact Email
E: mlreuda@wisc.edu Contact Email E: Phone Number
P: 608-262-3742 Phone Number P:"
CodeForGood,"CodeForGood is an organization dedicated to providing pro-bono technical and computer science assistance to local businesses and nonprofits. Our primary focus is to develop and enhance the technological capabilities of community organizations through services such as creating functional websites and offering general tech support.  The core mission of CodeForGood is to bridge the gap between technology and community needs. We aim to utilize our skills in computing and technology to contribute positively to society. This includes everything from building basic websites for local non-profits, to developing more complex technical solutions to enhance their operations.

For latest club events and updates, follow @codeforgooduw on Instagram!","Address
1301 Spring Street
Madison, WI 53715
United States Address 1301 Spring Street Madison, WI 53715 Madison, United States Contact Email
E: dhsiao3@wisc.edu Contact Email E: Phone Number
P: 6304182346 Phone Number P:"
College Democrats of UW-Madison,"We, students at the University of Wisconsin-Madison, seek a campus community that is informed and engaged in the issues that face our world today. We believe in the power of public education, the positive contributions that universities make to their communities, and the hope that students bring to the future of our state. We pride ourselves in being the next generation of progressive leaders in the United States of America, and we unite ourselves under the College Democrats of UW-Madison in the hope that equal justice, equal opportunity, and compassion will always be pillars of the Democratic Party.","Address
Madison, WI 53706
USA Address Madison, WI 53706 Madison, USA Contact Email
E: collegedemsuwmadisoneboard@gmail.com Contact Email E:"
College Republicans of UW-Madison,"College Republicans of UW-Madison (GOP Badgers) is the only UW-Madison organization affiliated with the College Republican National Committee. Our organization works to promote the principles of the Republican Party and encourages conservative students to get involved in the political process. We host prominent guest speakers within the Republican community, put on political/social events, and volunteer for Republican campaigns at the grassroots level. Our organization is committed to re-electing Republican candidates at all levels of government and we encourage interested students to follow us on Instagram, Twitter and Snapchat (@gopbadgers on everything)!","Address
333 East Campus Mall #129
Madison, WI 53715
USA Address 333 East Campus Mall #129 Madison, WI 53715 Madison, USA Contact Email
E: chair@badgers.gop Contact Email E:"
"Collegiate 4-H, UW-Madison","Collegiate 4-H, UW-Madison shall strive to follow the national motto: “Continuing to Serve, Serving
to Continue."" We will serve the needs of our members, Wisconsin 4-H, and the students of the
University of Wisconsin - Madison in any way we can. We will help build the future leaders of 4-H
through experience in the 4-H program on campus and across the state. Additionally we will follow
the 4-H motto, “To Make the Best Better.” 4-H is the nation’s largest youth development and empowerment organization. In Wisconsin, more than 150,000 young people in urban, suburban, and rural settings are involved with 4-H and other UW-Madison Division of Extension youth programs. Youth ages 5-19 can learn important life skills like leadership, teamwork, critical thinking and communication to help prepare them for successful futures – and they do it while engaging in fun, hands-on 4-H activities. Wisconsin 4-H Youth Development’s nearly 13,000 adult volunteers serve as mentors and role models for 4-H’ers. They help provide a safe, interactive place for youth to take risks, practice their independence, and master new skills. Adults who volunteer for 4-H take a lot away from their experiences – volunteers learn and strengthen skills that help them in the workplace and become better connected to their communities. Collegiate 4-H has agreed on a partnership through a Memorandum of Understanding with UW-Madison, Division of Extension Wisconsin 4-H organization. We will be guided by both UW-Madison RSO policies and Wisconsin 4-H policies. We have been granted permission to use the 4-H emblem and logo, as well as have been assigned an advisor from the Wisconsin 4-H office. The main goals of Collegiate 4-H, UW-Madison are to connect students on campus who were previous 4-H members or who would like to be a part of a 4-H organization, and to serve our campus, city, and state community through various service learning events.","Address
432 N. Lake St.
Rm 103
Madison, WI 53706
United States Address 432 N. Lake St. Rm 103 Madison, WI 53706 Madison, United States Contact Email
E: collegiate.4h.uwmadison@gmail.com Contact Email E: Phone Number
P: 608-262-1222 Phone Number P:"
"Collegiate DECA, UW Madison Chapter","The goals of this organization shall be:  One way students have the opportunity to develop and practice professional development skills and networking is through a state competition, which takes place in the spring. Those who qualify have a chance to go on to nationals. For more information, please check out our website.","Address
420 W Gorham ST
WI 53703
United States Address 420 W Gorham ST WI 53703 United States Contact Email
E: kbuth@wisc.edu Contact Email E: Phone Number
P: 6127605922 Phone Number P:"
Collegiate Farm Bureau at The Unviersity of Wisconsin-Madison,"Collegiate Farm Bureau is a student-run organization that works to promote agriculture on the University of Wisconsin-Madison campus.  As a voice for agriculture at UW, Collegiate Farm Bureau connects students through agricultural advocacy, education, professional development, and interaction with industry leaders.","Address
1675 observatory dr
266 Animal Science
Madison, WI 53706
United States Address 1675 observatory dr 266 Animal Science Madison, WI 53706 Madison, United States Contact Email
E: albender2@wisc.edu Contact Email E: Phone Number
P: 2627297141 Phone Number P:"
Colombian Badgers,"The purpose of Colombian Badgers is to unite, support, and promote Colombian culture at the University of Wisconsin-Madison.","Address Address Contact Email
E: colombianos_en_uw@rso.wisc.edu Contact Email E:"
